X0,Y0,X1,Y1,X2,Y2
0,113.5127,3915,137.1835,1664,90.91139
1,117.2785,4401,135.5696,912,90.91139
2,122.1203,4135,135.5696,387,90.91139
3,125.3481,3873,135.5696,1582,91.46203
4,127.5000,3829,135.5696,1374,91.46203
5,128.5823,3003,135.5696,1750,91.99367
6,129.1139,3134,134.4873,1255,91.99367
7,129.1139,4290,133.9557,824,91.99367
8,129.1139,4252,133.9557,1835,92.52531
9,129.1139,3255,133.9557,1420,92.52531
10,129.1139,2922,133.9557,1297,92.52531
11,129.1139,2879,133.9557,999,92.52531
12,129.1139,2838,133.9557,872,92.52531
13,129.1139,4214,133.4241,732,92.52531
14,129.1139,744,133.4241,474,92.52531
15,129.1139,4328,132.8734,1497,93.06962
16,129.1139,3769,132.3418,213,93.06962
17,128.5823,3614,132.3418,2412,93.07595
18,128.0316,3536,132.3418,2208,93.07595
19,127.5000,3458,132.3418,1796,93.07595
20,127.5000,3375,132.3418,960,93.07595
21,126.9684,3338,132.3418,647,93.07595
22,125.8861,3299,132.3418,253,93.07595
23,124.8038,3218,132.3418,2124,93.60760
24,123.7405,3092,132.3418,2040,93.60760
25,123.1899,2346,132.3418,1626,93.60760
26,122.1266,1015,132.3418,1544,93.60760
27,121.5760,928,132.3418,1217,93.60760
28,121.0443,4363,131.8101,605,93.60760
29,120.5127,4180,131.8101,559,93.60760
30,119.9620,2961,131.8101,163,93.60760
31,118.8987,1848,131.8101,78,93.60760
32,117.8165,1761,131.8101,2616,94.13924
33,115.6646,4485,131.2595,2496,94.13924
34,112.9747,2387,131.2595,2332,94.13924
35,109.7468,1677,131.2595,1962,94.13924
36,106.5190,313,131.2595,1711,94.13924
37,103.2911,4088,130.7278,1338,94.13924
38,100.6013,4050,130.7278,1082,94.13924
39,98.4494,4008,130.7278,785,94.13924
40,96.8354,3728,130.7278,437,94.13924
41,95.7532,3653,130.7278,302,94.13924
42,95.2215,3575,130.7278,1880,94.68355
43,96.2975,3422,130.7278,2991,94.68987
44,98.9873,3180,130.7278,1166,94.68987
45,103.8291,2792,130.7278,3903,95.22152
46,109.7468,2712,130.7278,3522,95.22152
47,115.6646,2135,130.7278,2577,95.22152
48,121.0443,1808,130.7278,2168,95.22152
49,124.8101,1638,130.7278,1459,95.22152
50,126.9684,661,130.7278,693,95.22152
51,128.0316,488,130.7278,520,95.22152
52,128.5823,400,130.7278,348,95.22152
53,128.5823,270,130.7278,42,95.22152
54,128.0316,91,130.7278,4116,95.75317
55,127.5000,4449,130.1962,3801,95.75317
56,126.9684,3497,130.1962,3485,95.75317
57,126.4177,2219,130.1962,3444,95.75317
58,125.3544,3688,129.6456,3363,95.75317
59,124.2721,3054,129.6456,3165,95.75317
60,123.1899,2510,129.6456,3121,95.75317
61,122.1266,174,129.6456,2908,95.75317
62,121.5760,3972,129.1139,2700,95.75317
63,120.5127,2754,129.1139,2659,95.75317
64,119.9620,2671,129.1139,2456,95.75317
65,118.8987,2629,129.1139,2255,95.75317
66,118.3481,2588,129.1139,1125,95.75317
67,117.2848,2470,129.1139,1046,95.75317
68,116.7342,2426,129.1139,124,95.75317
69,116.2025,2304,129.1139,1919,95.75949
70,114.0506,2266,129.1139,2086,96.29747
71,111.3608,2178,129.1139,3598,96.30379
72,107.0570,2051,129.1139,3244,96.30379
73,103.8291,1891,129.1139,3205,96.30379
74,100.0633,1598,129.1139,2540,96.30379
75,97.3734,1515,129.1139,2375,96.30379
76,95.2215,1179,129.1139,3677,96.83544
77,94.1392,1055,129.1139,3408,96.83544
78,93.6076,972,129.1139,2951,96.83544
79,94.1392,843,129.1139,2867,96.83544
80,95.7595,706,129.1139,2293,96.83544
81,98.9873,571,129.1139,4390,97.36709
82,103.8291,448,129.1139,4317,97.36709
83,110.2848,11,129.1139,4201,97.36709
84,116.2025,1973,128.5823,3861,97.36709
85,121.0443,227,128.5823,3639,97.36709
86,123.7342,52,128.5823,3562,97.36709
87,125.8861,1386,128.0316,3326,97.36709
88,127.5000,1309,128.0316,3283,97.36709
89,129.1139,1093,128.0316,3081,97.36709
90,130.1962,2552,127.5000,2825,97.36709
91,130.7278,2097,127.5000,2780,97.36709
92,130.7278,2013,127.5000,2002,97.37342
93,130.1962,1934,127.5000,4279,97.91772
94,129.6456,1721,127.5000,4240,97.91772
95,128.5823,1555,127.5000,3044,97.91772
96,128.0316,1469,127.5000,2742,97.91772
97,127.5000,1431,127.5000,4474,98.44936
98,127.5000,1270,127.5000,4167,98.44936
99,126.9684,1135,127.5000,3960,98.44936
100,126.4177,886,127.5000,3757,98.44936
101,125.8861,796,127.5000,3716,98.44936
102,125.3544,619,127.5000,4353,98.98101
103,124.8038,530,127.5000,4075,98.98101
104,124.2721,357,127.5000,4036,98.98101
105,123.7405,1227,126.9684,4439,99.53165
106,123.1899,1349,126.4177,3996,99.53165
107,122.6582,136,125.8861,,
108,122.1266,,,,
109,121.5760,,,,
110,120.5127,,,,
111,119.9620,,,,
112,118.8987,,,,
113,117.8165,,,,
114,116.7342,,,,
115,115.6709,,,,
116,114.0506,,,,
117,111.3608,,,,
118,108.6709,,,,
119,106.5190,,,,
120,104.3671,,,,
121,101.6772,,,,
122,98.9873,,,,
123,96.8354,,,,
124,95.7532,,,,
125,95.7532,,,,
126,97.9114,,,,
127,102.2152,,,,
128,107.5949,,,,
129,113.5127,,,,
130,118.3544,,,,
131,122.1203,,,,
132,124.2721,,,,
133,125.3544,,,,
134,125.8861,,,,
135,125.8861,,,,
136,125.8861,,,,
137,125.8861,,,,
138,125.8861,,,,
139,125.8861,,,,
140,125.3544,,,,
141,124.8038,,,,
142,124.2721,,,,
143,123.7405,,,,
144,123.1899,,,,
145,122.6582,,,,
146,122.6582,,,,
147,122.1266,,,,
148,121.0443,,,,
149,119.9620,,,,
150,119.4304,,,,
151,118.8987,,,,
152,117.8165,,,,
153,116.2025,,,,
154,114.0506,,,,
155,111.8987,,,,
156,109.7468,,,,
157,107.5949,,,,
158,104.3671,,,,
159,101.1392,,,,
160,98.4494,,,,
161,96.2975,,,,
162,94.6835,,,,
163,93.6076,,,,
164,94.1392,,,,
165,96.2975,,,,
166,100.0633,,,,
167,105.4430,,,,
168,111.8987,,,,
169,118.3544,,,,
170,123.7342,,,,
171,126.9620,,,,
172,128.5823,,,,
173,129.6456,,,,
174,129.6456,,,,
175,129.6456,,,,
176,129.1139,,,,
177,129.1139,,,,
178,129.1139,,,,
179,128.5823,,,,
180,128.5823,,,,
181,128.0316,,,,
182,128.0316,,,,
183,127.5000,,,,
184,127.5000,,,,
185,127.5000,,,,
186,127.5000,,,,
187,127.5000,,,,
188,127.5000,,,,
189,126.9684,,,,
190,126.4177,,,,
191,125.8861,,,,
192,125.8861,,,,
193,125.3544,,,,
194,124.8038,,,,
195,124.2721,,,,
196,124.2721,,,,
197,124.2721,,,,
198,124.2721,,,,
199,123.7405,,,,
