X0,Y0,X1,Y1,X2,Y2
0,137.184,4182,148.48102,4162,102.75949
1,136.652,2010,148.48102,4231,103.82278
2,135.570,2686,147.94937,3954,103.82278
3,133.956,282,147.39873,4341,104.37342
4,132.342,4359,146.86710,4294,104.37342
5,130.728,3770,146.86710,3378,104.37342
6,128.576,3554,146.86710,4471,104.90506
7,125.886,3392,146.86710,4107,104.90506
8,122.658,2996,146.86710,4054,104.90506
9,119.968,2838,146.86710,4010,104.90506
10,117.278,2496,146.86710,3905,104.90506
11,114.589,2118,146.86710,3755,104.90506
12,111.899,1441,146.86710,3705,104.90506
13,110.278,1089,146.86710,3535,104.90506
14,110.278,992,146.86710,4401,105.43671
15,112.437,754,146.86710,3659,105.43671
16,116.203,161,146.86710,3489,105.43671
17,121.582,1266,146.33545,3179,105.43671
18,128.038,118,146.33545,2984,105.43671
19,134.494,2883,145.78481,3861,105.98734
20,139.873,1827,145.78481,3325,105.98734
21,143.101,1623,145.78481,1169,105.98734
22,145.253,858,145.78481,831,105.98734
23,145.785,521,145.78481,363,105.98734
24,145.785,384,145.78481,3817,106.51899
25,144.722,23,145.78481,3446,106.51899
26,144.171,4488,145.25316,2873,106.51899
27,143.108,4246,145.25316,2778,106.51899
28,142.557,4020,145.25316,2733,106.51899
29,142.025,3719,145.25316,2670,106.51899
30,142.025,2795,145.25316,2623,106.51899
31,142.025,2309,145.25316,2392,106.51899
32,141.494,2270,145.25316,2102,106.51899
33,141.494,1767,145.25316,3599,107.05064
34,140.943,1721,145.25316,3138,107.05064
35,140.943,1680,145.25316,3085,107.05064
36,140.411,1581,145.25316,2938,107.05064
37,139.880,1399,145.25316,2827,107.05064
38,139.329,950,145.25316,1996,107.05064
39,138.797,654,145.25316,3227,107.60126
40,138.797,561,145.25316,2577,107.60126
41,138.266,468,145.25316,2203,107.60126
42,137.715,75,145.25316,2058,107.60126
43,136.652,2642,144.72151,1074,107.60126
44,136.101,1228,144.72151,3043,108.13291
45,135.038,224,144.72151,2486,108.13291
46,133.956,4413,144.17088,2299,108.13291
47,132.342,4124,144.17088,1707,108.13291
48,130.190,2457,144.17088,1256,108.13291
49,128.038,2404,144.17088,981,108.13291
50,125.348,1178,144.17088,728,108.13291
51,122.658,426,144.17088,3282,108.66456
52,119.430,4068,143.63924,2345,108.66456
53,116.203,3972,143.63924,1949,108.66456
54,113.513,3927,143.63924,1813,108.66456
55,111.361,3615,143.63924,551,108.66456
56,110.278,3194,143.63924,261,108.66456
57,110.278,3097,143.63924,2446,109.21519
58,112.975,2953,143.63924,2259,109.21519
59,117.816,2743,143.63924,1752,109.21519
60,124.272,2224,143.63924,1613,109.21519
61,130.728,2068,143.63924,1427,109.21519
62,136.646,1965,143.63924,1032,109.21519
63,140.949,1874,143.63924,936,109.21519
64,143.639,1542,143.63924,639,109.21519
65,144.722,1503,143.63924,151,109.21519
66,145.253,1354,143.63924,1910,109.74683
67,145.253,904,143.63924,1859,109.74683
68,145.253,797,143.63924,1666,109.74683
69,145.253,694,143.63924,1343,109.74683
70,145.253,615,143.63924,1218,109.74683
71,145.253,4304,143.10759,685,109.74683
72,145.253,3455,143.10759,458,109.74683
73,145.253,3149,143.10759,2538,110.27848
74,145.253,330,143.10759,2158,110.27848
75,145.253,3499,142.55696,1568,110.27848
76,145.253,1921,142.55696,1526,110.27848
77,145.253,3872,142.02531,1384,110.27848
78,145.253,3828,142.02531,1127,110.27848
79,145.253,3671,142.02531,893,110.27848
80,145.253,3346,142.02531,509,110.27848
81,145.253,3243,142.02531,417,110.27848
82,145.253,2593,142.02531,56,110.27848
83,145.253,2549,142.02531,13,110.27848
84,145.253,2360,142.02531,1484,110.82912
85,145.253,2171,142.02531,787,110.82912
86,144.722,1316,142.02531,322,110.82912
87,144.171,1138,142.02531,1300,111.36076
88,143.639,1047,142.02531,215,111.36076
89,143.108,3291,141.49367,109,111.36076
90,142.025,3052,141.49367,603,111.89240
91,140.943,,,,
92,139.880,,,,
93,139.329,,,,
94,138.797,,,,
95,138.266,,,,
96,137.715,,,,
97,136.652,,,,
98,135.570,,,,
99,133.956,,,,
100,132.342,,,,
101,130.190,,,,
102,127.500,,,,
103,124.810,,,,
104,122.120,,,,
105,119.430,,,,
106,116.741,,,,
107,114.051,,,,
108,112.437,,,,
109,111.361,,,,
110,111.892,,,,
111,114.051,,,,
112,118.354,,,,
113,124.272,,,,
114,130.728,,,,
115,136.646,,,,
116,141.487,,,,
117,144.715,,,,
118,146.335,,,,
119,146.335,,,,
120,145.785,,,,
121,144.722,,,,
122,143.639,,,,
123,142.557,,,,
124,142.025,,,,
125,142.025,,,,
126,141.494,,,,
127,140.943,,,,
128,140.411,,,,
129,140.411,,,,
130,139.880,,,,
131,139.329,,,,
132,138.797,,,,
133,138.266,,,,
134,137.715,,,,
135,137.184,,,,
136,136.652,,,,
137,136.101,,,,
138,135.038,,,,
139,133.956,,,,
140,132.342,,,,
141,130.728,,,,
142,129.114,,,,
143,126.962,,,,
144,124.810,,,,
145,122.120,,,,
146,119.430,,,,
147,116.741,,,,
148,114.051,,,,
149,111.899,,,,
150,109.747,,,,
151,109.215,,,,
152,110.285,,,,
153,114.051,,,,
154,119.968,,,,
155,127.500,,,,
156,134.494,,,,
157,139.873,,,,
158,143.101,,,,
159,145.253,,,,
160,146.335,,,,
161,146.867,,,,
162,146.335,,,,
163,145.785,,,,
164,145.253,,,,
165,145.253,,,,
166,145.253,,,,
167,145.253,,,,
168,145.253,,,,
169,145.253,,,,
170,145.253,,,,
171,145.253,,,,
172,145.253,,,,
173,145.253,,,,
174,145.253,,,,
175,145.253,,,,
176,145.253,,,,
177,145.253,,,,
178,145.253,,,,
179,145.785,,,,
180,146.335,,,,
181,146.867,,,,
182,146.867,,,,
183,146.867,,,,
184,146.867,,,,
185,146.867,,,,
186,146.867,,,,
187,146.335,,,,
188,145.253,,,,
189,144.171,,,,
190,143.108,,,,
191,142.025,,,,
192,140.943,,,,
193,140.411,,,,
194,140.411,,,,
195,139.880,,,,
196,139.329,,,,
197,138.797,,,,
198,138.266,,,,
199,137.715,,,,
200,137.184,,,,
201,136.652,,,,
202,135.570,,,,
203,134.487,,,,
204,133.424,,,,
205,132.342,,,,
206,130.728,,,,
207,129.114,,,,
208,126.962,,,,
209,124.810,,,,
210,122.120,,,,
211,119.968,,,,
212,117.278,,,,
213,114.589,,,,
214,112.437,,,,
215,111.361,,,,
216,111.892,,,,
217,114.589,,,,
218,119.430,,,,
219,125.886,,,,
220,132.342,,,,
221,137.722,,,,
222,141.487,,,,
223,143.639,,,,
224,144.722,,,,
225,144.722,,,,
226,144.171,,,,
227,143.639,,,,
228,143.639,,,,
229,143.639,,,,
230,143.639,,,,
231,143.639,,,,
232,143.639,,,,
233,143.108,,,,
234,142.557,,,,
235,142.025,,,,
236,142.025,,,,
237,142.025,,,,
238,142.025,,,,
239,142.025,,,,
240,142.025,,,,
241,141.494,,,,
242,140.943,,,,
243,140.411,,,,
244,140.411,,,,
245,140.411,,,,
246,139.880,,,,
247,139.329,,,,
248,138.266,,,,
249,136.646,,,,
250,134.494,,,,
251,131.804,,,,
252,129.652,,,,
253,126.962,,,,
254,124.810,,,,
255,122.120,,,,
256,119.430,,,,
257,116.203,,,,
258,113.513,,,,
259,111.361,,,,
260,109.747,,,,
261,108.665,,,,
262,108.665,,,,
263,110.285,,,,
264,114.589,,,,
265,120.506,,,,
266,127.500,,,,
267,133.418,,,,
268,137.722,,,,
269,140.411,,,,
270,142.025,,,,
271,143.639,,,,
272,145.253,,,,
273,146.335,,,,
274,146.867,,,,
275,146.867,,,,
276,146.867,,,,
277,146.867,,,,
278,146.867,,,,
279,146.867,,,,
280,146.867,,,,
281,147.399,,,,
282,147.399,,,,
283,147.399,,,,
284,146.867,,,,
285,146.335,,,,
286,145.785,,,,
287,144.722,,,,
288,144.171,,,,
289,143.108,,,,
290,142.557,,,,
291,142.025,,,,
292,142.025,,,,
293,142.025,,,,
294,142.025,,,,
295,141.494,,,,
296,140.943,,,,
297,140.411,,,,
298,140.411,,,,
299,139.880,,,,
300,139.329,,,,
301,138.797,,,,
302,138.797,,,,
303,138.266,,,,
304,137.715,,,,
305,137.184,,,,
306,136.652,,,,
307,136.101,,,,
308,135.038,,,,
309,134.487,,,,
310,133.424,,,,
311,132.342,,,,
312,130.728,,,,
313,129.114,,,,
314,127.500,,,,
315,125.348,,,,
316,123.196,,,,
317,121.044,,,,
318,118.892,,,,
319,116.203,,,,
320,113.513,,,,
321,111.361,,,,
322,110.829,,,,
323,112.437,,,,
324,117.278,,,,
325,123.734,,,,
326,130.728,,,,
327,136.108,,,,
328,139.873,,,,
329,142.025,,,,
330,143.108,,,,
331,143.108,,,,
332,142.557,,,,
333,142.025,,,,
334,142.025,,,,
335,142.025,,,,
336,142.025,,,,
337,142.025,,,,
338,141.494,,,,
339,140.943,,,,
340,140.411,,,,
341,140.411,,,,
342,140.411,,,,
343,140.411,,,,
344,140.411,,,,
345,139.880,,,,
346,139.329,,,,
347,138.797,,,,
348,138.797,,,,
349,138.797,,,,
350,138.266,,,,
351,137.715,,,,
352,136.652,,,,
353,135.570,,,,
354,133.418,,,,
355,130.728,,,,
356,127.500,,,,
357,123.734,,,,
358,119.430,,,,
359,115.127,,,,
360,111.361,,,,
361,108.671,,,,
362,106.519,,,,
363,105.987,,,,
364,107.057,,,,
365,110.823,,,,
366,116.203,,,,
367,123.196,,,,
368,130.190,,,,
369,136.646,,,,
370,140.949,,,,
371,143.639,,,,
372,144.722,,,,
373,145.253,,,,
374,145.253,,,,
375,145.253,,,,
376,145.253,,,,
