X0,Y0,X1,Y1,X2,Y2
0,121.5823,58,138.7975,4228,95.7532
1,125.3481,577,138.2658,4139,95.7532
2,129.6519,393,138.2658,4481,96.8354
3,131.8101,1227,137.7152,3748,96.8354
4,132.8734,719,137.7152,4442,97.3671
5,133.4241,349,137.7152,4394,97.3671
6,133.9557,2324,137.1835,4309,97.3671
7,133.9557,1706,137.1835,3962,97.3671
8,133.9557,1519,137.1835,3528,97.3671
9,133.9557,1326,137.1835,3437,97.3671
10,133.9557,1124,137.1835,3341,97.3671
11,133.9557,1082,137.1835,4355,97.9177
12,133.9557,942,137.1835,4273,97.9177
13,133.9557,901,137.1835,4189,98.4494
14,133.9557,811,137.1835,4099,98.4494
15,133.4241,536,137.1835,4049,98.4494
16,132.8734,481,137.1835,4009,98.4494
17,132.3418,249,137.1835,3876,98.4494
18,132.3418,195,137.1835,3835,98.4494
19,132.3418,1421,136.6519,3709,98.4494
20,132.3418,146,136.6519,3659,98.4494
21,131.8101,106,136.6519,3065,98.4494
22,131.2595,668,136.1013,3924,98.9810
23,130.7278,3077,135.5696,3797,98.9810
24,130.7278,2976,135.5696,3252,98.9810
25,130.1962,2645,135.5696,3158,98.9810
26,129.6456,2181,135.5696,2821,98.9810
27,128.5823,2075,135.5696,3618,99.5316
28,127.5000,2032,135.5696,3397,99.5316
29,125.8861,1855,135.5696,3297,99.5316
30,124.2721,1807,135.5696,2963,99.5316
31,122.1203,1478,135.5696,2775,99.5316
32,119.4304,1041,135.5696,2628,99.5316
33,116.2025,863,135.5696,1202,99.5316
34,112.9747,436,135.5696,2311,100.0633
35,109.2089,1611,135.0380,1838,100.0633
36,105.9810,1378,134.4873,1792,100.0633
37,103.2911,1276,134.4873,1692,100.0633
38,101.6772,3450,133.9557,3581,100.5949
39,101.6772,2838,133.9557,3488,100.5949
40,102.7532,2740,133.9557,3206,100.5949
41,105.9810,2465,133.9557,3117,100.5949
42,109.7468,2283,133.9557,2919,100.5949
43,115.6646,2229,133.9557,2724,100.5949
44,121.5823,2129,133.9557,1598,100.5949
45,127.5000,1983,133.9557,1020,100.5949
46,131.2658,1940,133.9557,3020,101.1456
47,133.9557,1758,133.9557,2585,101.1456
48,135.0380,1665,133.9557,2212,101.1456
49,136.1013,1565,133.9557,1308,101.1456
50,136.6519,1172,133.9557,181,101.1456
51,137.7152,626,133.9557,2015,101.6772
52,138.2658,291,133.9557,1111,101.6772
53,138.7975,10,133.9557,707,101.6772
54,138.7975,2504,133.4241,656,101.6772
55,138.7975,1898,132.8734,38,101.6772
56,138.7975,3765,132.3418,2871,102.2089
57,138.7975,3354,132.3418,2492,102.2089
58,138.7975,3174,132.3418,2405,102.2089
59,138.7975,3036,132.3418,2365,102.2089
60,138.7975,2935,132.3418,2110,102.2089
61,138.7975,2885,132.3418,1650,102.2089
62,138.7975,2790,132.3418,1410,102.2089
63,138.7975,2692,132.3418,796,102.2089
64,138.2658,2598,132.3418,468,102.2089
65,137.7152,2425,132.3418,2682,102.7595
66,137.1835,995,132.3418,2449,102.7595
67,137.1835,770,132.3418,1972,102.7595
68,136.6519,3310,131.8101,1746,102.7595
69,136.1013,2554,131.8101,931,102.7595
70,135.0380,4154,130.7278,566,102.7595
71,134.4873,3542,130.7278,321,102.7595
72,133.4241,3267,130.7278,2268,103.2911
73,132.8734,3129,130.7278,2167,103.2911
74,132.3418,2381,130.7278,2063,103.2911
75,131.8101,4321,130.1962,1887,103.2911
76,131.2595,4020,130.1962,1553,103.2911
77,130.7278,3669,130.1962,525,103.2911
78,130.1962,3974,129.1139,2542,103.8228
79,129.6456,3889,129.1139,1506,103.8228
80,128.5823,3808,129.1139,1463,103.8228
81,128.0316,3499,129.1139,1071,103.8228
82,127.5000,3409,129.1139,613,103.8228
83,126.9684,3220,129.1139,1926,104.3734
84,126.4177,4413,128.5823,1160,104.3734
85,125.3544,4060,128.5823,425,104.3734
86,124.2721,4245,128.0316,1265,104.9051
87,122.6582,3591,128.0316,890,104.9051
88,121.0443,4493,127.5000,849,104.9051
89,119.4304,4455,127.5000,382,104.9051
90,117.2785,4284,127.5000,1368,105.4367
91,115.1266,4111,127.5000,981,105.4367
92,112.4367,3936,127.5000,279,105.4367
93,110.2848,3721,127.5000,238,105.9873
94,108.1329,3630,127.5000,136,105.9873
95,106.5190,4366,126.9684,96,105.9873
96,105.9873,3849,126.9684,757,106.5190
97,106.5190,4200,125.8861,,
98,108.6709,,,,
99,112.4367,,,,
100,117.2785,,,,
101,123.1962,,,,
102,128.0380,,,,
103,132.3418,,,,
104,134.4937,,,,
105,136.1013,,,,
106,136.6519,,,,
107,136.6519,,,,
108,136.1013,,,,
109,135.0380,,,,
110,134.4873,,,,
111,133.9557,,,,
112,133.4241,,,,
113,132.8734,,,,
